icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
SAZB,BHI,Comandante Espora Airport,Bahía Blanca,AR,SA,medium_airport,3,7907,-38.72500,-62.16930
SAZH,OYO,Tres Arroyos Airport,Tres Arroyos,AR,SA,medium_airport,3,3934,-38.38690,-60.32970
SAZO,NEC,Necochea Airport,Necochea,AR,SA,medium_airport,3,4921,-38.49075,-58.81634
SBNT,,Natal Air Force Base,Natal,BR,SA,medium_airport,3,8530,-5.91142,-35.24770
SBYS,,Campo Fontenelle,Pirassununga,BR,SA,medium_airport,3,6923,-21.98469,-47.34121
SCCI,PUQ,President Carlos Ibáñez International Airport,Punta Arenas,CL,SA,large_airport,3,9154,-53.00260,-70.85460
UNOO,OMS,Omsk Central Airport,Omsk,RU,AS,large_airport,3,9435,54.96312,73.31242
UUEE,SVO,Sheremetyevo International Airport,Moscow,RU,EU,large_airport,3,12139,55.97686,37.41121
UWGG,GOJ,Nizhny Novgorod / Strigino International Airport,Nizhny Novgorod,RU,EU,large_airport,4,9843,56.22735,43.78515
UWOR,OSW,Orsk Airport,Orsk,RU,AS,medium_airport,4,9514,51.07250,58.59560
VHHH,HKG,Hong Kong International Airport,Hong Kong,HK,AS,large_airport,3,12467,22.31184,113.91486
VIDP,DEL,Indira Gandhi International Airport,New Delhi,IN,AS,large_airport,4,14534,28.55563,77.09519
VTBL,KKM,Khok Kathiam Airport,Lop Buri,TH,AS,medium_airport,3,7252,14.87462,100.66340
VTBS,BKK,Suvarnabhumi Airport,Bangkok,TH,AS,large_airport,3,13123,13.68110,100.74700
WIII,CGK,Soekarno-Hatta International Airport,Jakarta,ID,AS,large_airport,3,12008,-6.12557,106.65600
WMKK,KUL,Kuala Lumpur International Airport,Sepang,MY,AS,large_airport,3,13530,2.74558,101.71000
WSAT,TGA,Tengah Air Base,Western Water Catchment,SG,AS,medium_airport,3,8999,1.38756,103.70829
YBLA,BLN,Benalla Airport,Benalla,AU,OC,medium_airport,4,3422,-36.55190,146.00700
YBOK,OKY,Oakey Army Aviation Centre,,AU,OC,medium_airport,5,5410,-27.40926,151.73673
YGEL,GET,Geraldton Airport,Moonyoonooka,AU,OC,medium_airport,3,7838,-28.79610,114.70700
YKII,KNS,King Island Airport,,AU,OC,medium_airport,3,5198,-39.87750,143.87801
YKSC,KGC,Kingscote Airport,,AU,OC,medium_airport,3,4600,-35.71390,137.52100
YLTV,TGN,Latrobe Valley Airport,Morwell,AU,OC,medium_airport,3,4692,-38.21100,146.47082
