icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
KMEM,MEM,Frederick W. Smith International Airport,Memphis,US,US-TN,NA,large_airport,4,11120,35.04384,-89.97634
KMER,MER,Castle Airport,Merced,US,US-CA,NA,medium_airport,1,11802,37.38050,-120.56800
KMFD,MFD,Mansfield Lahm Regional Airport,Mansfield,US,US-OH,NA,medium_airport,2,9001,40.82140,-82.51660
KMFE,MFE,McAllen Miller International Airport,McAllen,US,US-TX,NA,medium_airport,2,7120,26.17614,-98.23797
KMFR,MFR,Rogue Valley International-Medford Airport,Medford,US,US-OR,NA,medium_airport,1,8800,42.37420,-122.87300
KMGC,MGC,Michigan City Municipal Airport,Michigan City,US,US-IN,NA,medium_airport,1,4099,41.70330,-86.82120
KMGE,MGE,Dobbins Air Reserve Base,Marietta,US,US-GA,NA,medium_airport,2,10002,33.91540,-84.51630
KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,US,US-AL,NA,medium_airport,2,9020,32.30060,-86.39400
KMGW,MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,US,US-WV,NA,medium_airport,1,5199,39.64330,-79.91760
KMHK,MHK,Manhattan Regional Airport,Manhattan,US,US-KS,NA,medium_airport,2,7400,39.14100,-96.67080
KMHR,MHR,Sacramento Mather Airport,Sacramento,US,US-CA,NA,medium_airport,2,11301,38.55474,-121.29799
KMHT,MHT,Manchester-Boston Regional Airport,Manchester,US,US-NH,NA,medium_airport,2,9250,42.93260,-71.43570
KMHV,MHV,Mojave Air &  Space Port,Mojave,US,US-CA,NA,medium_airport,3,12503,35.05639,-118.14534
KMIA,MIA,Miami International Airport,Miami,US,US-FL,NA,large_airport,4,13016,25.79601,-80.28975
KMIB,MIB,Minot Air Force Base,Minot,US,US-ND,NA,medium_airport,1,13197,48.41560,-101.35800
KMIE,MIE,Delaware County Johnson Field,Muncie,US,US-IN,NA,medium_airport,2,6500,40.24230,-85.39590
KMIV,MIV,Millville Municipal Airport,Millville,US,US-NJ,NA,medium_airport,2,6003,39.36780,-75.07220
KMKC,MKC,Charles B. Wheeler Downtown Airport,Kansas City,US,US-MO,NA,medium_airport,2,6827,39.12320,-94.59280
KMKE,MKE,General Mitchell International Airport,Milwaukee,US,US-WI,NA,large_airport,5,9990,42.94720,-87.89660
KMKG,MKG,Muskegon County Airport,Muskegon,US,US-MI,NA,medium_airport,2,6500,43.16950,-86.23820
KMKL,MKL,McKellar-Sipes Regional Airport,Jackson,US,US-TN,NA,medium_airport,2,6005,35.59990,-88.91560
KMLB,MLB,Melbourne Orlando International Airport,Melbourne,US,US-FL,NA,medium_airport,3,10181,28.10201,-80.64109
KMLC,MLC,Mc Alester Regional Airport,Mc Alester,US,US-OK,NA,medium_airport,1,5602,34.88240,-95.78350
KMLI,MLI,Quad City International Airport,Moline,US,US-IL,NA,medium_airport,3,10002,41.44850,-90.50750
KMLS,MLS,Miles City Airport - Frank Wiley Field,Miles City,US,US-MT,NA,medium_airport,2,5764,46.42727,-105.88537
